period,demand_mw,temperature_f,apparent_temperature_f,dew_point_f,relative_humidity_pct,precipitation_in,cloud_cover_pct,wind_speed_mph
2024-05-01 00:00:00,29320,69.7,73.0,62.1,77,0.0,14,2.2
2024-05-01 01:00:00,28690,65.2,68.8,62.3,90,0.004,10,1.7
2024-05-01 02:00:00,27901,62.4,64.9,61.3,96,0.0,8,3.4
2024-05-01 03:00:00,25859,63.4,66.7,62.2,96,0.0,0,2.2
2024-05-01 04:00:00,23655,62.7,65.8,62.0,97,0.0,0,2.5
2024-05-01 05:00:00,22297,59.3,60.6,59.3,100,0.0,97,4.3
2024-05-01 06:00:00,21720,58.3,59.5,58.3,100,0.0,98,3.7
2024-05-01 07:00:00,21106,57.7,59.5,57.7,100,0.0,100,1.7
2024-05-01 08:00:00,20747,56.0,57.1,56.0,100,0.0,100,2.1
2024-05-01 09:00:00,20845,57.1,58.4,57.1,100,0.0,100,2.5
2024-05-01 10:00:00,21243,56.3,57.2,56.3,100,0.0,100,2.6
2024-05-01 11:00:00,22402,55.6,56.2,55.5,100,0.0,100,2.7
2024-05-01 12:00:00,23153,57.3,58.6,56.8,98,0.0,100,2.1
2024-05-01 13:00:00,23904,62.2,64.7,60.9,95,0.0,100,3.0
2024-05-01 14:00:00,24475,65.2,69.3,63.3,94,0.0,91,1.6
2024-05-01 15:00:00,25613,73.0,76.8,61.5,67,0.0,0,3.3
2024-05-01 16:00:00,27090,75.8,81.4,59.2,56,0.0,0,2.0
2024-05-01 17:00:00,28483,77.9,84.3,57.7,50,0.0,1,1.7
2024-05-01 18:00:00,29976,79.4,85.9,56.7,46,0.0,12,1.6
2024-05-01 19:00:00,31229,80.5,86.5,55.7,43,0.0,0,1.4
2024-05-01 20:00:00,32323,81.2,86.1,55.1,41,0.0,0,1.1
2024-05-01 21:00:00,33185,81.5,84.2,54.9,40,0.0,0,1.8
2024-05-01 22:00:00,33617,81.1,81.1,55.1,41,0.0,0,3.8
2024-05-01 23:00:00,33204,79.1,80.1,58.5,49,0.0,0,4.3
2024-05-02 00:00:00,32041,73.2,75.3,61.8,67,0.0,0,4.7
2024-05-02 01:00:00,30624,70.1,69.6,55.3,59,0.0,10,5.1
2024-05-02 02:00:00,29375,67.2,65.8,54.2,63,0.0,1,6.5
2024-05-02 03:00:00,27136,70.3,69.7,51.5,51,0.0,0,2.6
2024-05-02 04:00:00,24662,68.7,68.6,51.7,55,0.0,0,1.6
2024-05-02 05:00:00,22998,68.1,68.1,51.1,55,0.0,1,0.8
2024-05-02 06:00:00,22296,61.2,60.0,51.9,72,0.0,6,4.1
2024-05-02 07:00:00,21540,60.1,58.9,52.3,76,0.0,0,4.4
2024-05-02 08:00:00,21008,58.9,58.0,52.7,80,0.0,0,4.2
2024-05-02 09:00:00,20913,56.8,55.4,52.9,87,0.0,0,5.5
2024-05-02 10:00:00,21501,56.8,55.7,52.7,86,0.0,0,4.5
2024-05-02 11:00:00,23027,56.8,56.4,53.3,88,0.0,74,3.4
2024-05-02 12:00:00,23664,61.9,61.6,55.2,79,0.0,55,4.7
2024-05-02 13:00:00,24282,69.4,70.0,57.5,66,0.0,48,4.3
2024-05-02 14:00:00,25065,74.0,74.6,58.4,58,0.0,0,5.1
2024-05-02 15:00:00,26145,78.0,78.7,57.4,49,0.0,48,7.3
2024-05-02 16:00:00,27852,80.2,80.8,53.9,40,0.0,64,8.3
2024-05-02 17:00:00,29473,81.6,83.0,54.1,39,0.0,100,8.6
2024-05-02 18:00:00,31115,82.7,84.1,55.1,39,0.0,100,9.2
2024-05-02 19:00:00,32343,83.6,85.5,55.2,38,0.0,69,7.7
2024-05-02 20:00:00,33128,84.1,85.5,54.9,37,0.0,94,7.2
2024-05-02 21:00:00,33792,84.2,84.1,53.5,35,0.0,6,5.1
2024-05-02 22:00:00,33947,84.0,82.7,52.3,34,0.0,35,4.7
2024-05-02 23:00:00,33446,82.2,83.2,57.6,43,0.0,17,3.5
2024-05-03 00:00:00,32391,76.1,77.3,60.2,58,0.0,65,5.3
2024-05-03 01:00:00,31435,71.9,72.4,58.5,63,0.0,98,5.5
2024-05-03 02:00:00,30301,70.9,71.3,57.7,63,0.0,51,4.9
2024-05-03 03:00:00,28002,70.3,70.6,58.1,65,0.0,100,5.7
2024-05-03 04:00:00,25677,69.5,69.6,57.7,66,0.0,88,5.7
2024-05-03 05:00:00,24195,68.8,68.4,57.0,66,0.0,98,6.3
2024-05-03 06:00:00,23444,69.1,68.3,56.6,64,0.0,89,6.8
2024-05-03 07:00:00,22454,67.5,67.0,56.5,68,0.0,100,6.1
2024-05-03 08:00:00,21938,68.1,66.8,56.4,66,0.0,100,7.9
2024-05-03 09:00:00,21896,68.0,67.6,56.7,67,0.0,100,6.0
2024-05-03 10:00:00,22541,67.1,67.9,58.3,73,0.024,100,4.6
2024-05-03 11:00:00,23628,66.1,67.5,60.0,81,0.012,100,4.7
2024-05-03 12:00:00,23984,66.6,68.9,61.3,83,0.0,100,3.6
2024-05-03 13:00:00,24614,72.2,74.7,63.1,73,0.0,25,5.2
2024-05-03 14:00:00,25271,76.3,79.8,64.8,68,0.0,29,4.3
2024-05-03 15:00:00,26609,80.2,84.9,64.8,59,0.0,21,3.9
2024-05-03 16:00:00,28323,82.7,85.5,61.6,49,0.0,24,7.0
2024-05-03 17:00:00,30080,84.0,86.2,59.8,44,0.0,100,8.5
