period,respondent,respondent-name,type-name,value,value-units
2024-05-01T00,SOCO,"Southern Company Services, Inc. - Trans",Demand,29320,megawatthours
2024-05-01T01,SOCO,"Southern Company Services, Inc. - Trans",Demand,28690,megawatthours
2024-05-01T02,SOCO,"Southern Company Services, Inc. - Trans",Demand,27901,megawatthours
2024-05-01T03,SOCO,"Southern Company Services, Inc. - Trans",Demand,25859,megawatthours
2024-05-01T04,SOCO,"Southern Company Services, Inc. - Trans",Demand,23655,megawatthours
2024-05-01T05,SOCO,"Southern Company Services, Inc. - Trans",Demand,22297,megawatthours
2024-05-01T06,SOCO,"Southern Company Services, Inc. - Trans",Demand,21720,megawatthours
2024-05-01T07,SOCO,"Southern Company Services, Inc. - Trans",Demand,21106,megawatthours
2024-05-01T08,SOCO,"Southern Company Services, Inc. - Trans",Demand,20747,megawatthours
2024-05-01T09,SOCO,"Southern Company Services, Inc. - Trans",Demand,20845,megawatthours
2024-05-01T10,SOCO,"Southern Company Services, Inc. - Trans",Demand,21243,megawatthours
2024-05-01T11,SOCO,"Southern Company Services, Inc. - Trans",Demand,22402,megawatthours
2024-05-01T12,SOCO,"Southern Company Services, Inc. - Trans",Demand,23153,megawatthours
2024-05-01T13,SOCO,"Southern Company Services, Inc. - Trans",Demand,23904,megawatthours
2024-05-01T14,SOCO,"Southern Company Services, Inc. - Trans",Demand,24475,megawatthours
2024-05-01T15,SOCO,"Southern Company Services, Inc. - Trans",Demand,25613,megawatthours
2024-05-01T16,SOCO,"Southern Company Services, Inc. - Trans",Demand,27090,megawatthours
2024-05-01T17,SOCO,"Southern Company Services, Inc. - Trans",Demand,28483,megawatthours
2024-05-01T18,SOCO,"Southern Company Services, Inc. - Trans",Demand,29976,megawatthours
2024-05-01T19,SOCO,"Southern Company Services, Inc. - Trans",Demand,31229,megawatthours
2024-05-01T20,SOCO,"Southern Company Services, Inc. - Trans",Demand,32323,megawatthours
2024-05-01T21,SOCO,"Southern Company Services, Inc. - Trans",Demand,33185,megawatthours
2024-05-01T22,SOCO,"Southern Company Services, Inc. - Trans",Demand,33617,megawatthours
2024-05-01T23,SOCO,"Southern Company Services, Inc. - Trans",Demand,33204,megawatthours
2024-05-02T00,SOCO,"Southern Company Services, Inc. - Trans",Demand,32041,megawatthours
2024-05-02T01,SOCO,"Southern Company Services, Inc. - Trans",Demand,30624,megawatthours
2024-05-02T02,SOCO,"Southern Company Services, Inc. - Trans",Demand,29375,megawatthours
2024-05-02T03,SOCO,"Southern Company Services, Inc. - Trans",Demand,27136,megawatthours
2024-05-02T04,SOCO,"Southern Company Services, Inc. - Trans",Demand,24662,megawatthours
2024-05-02T05,SOCO,"Southern Company Services, Inc. - Trans",Demand,22998,megawatthours
2024-05-02T06,SOCO,"Southern Company Services, Inc. - Trans",Demand,22296,megawatthours
2024-05-02T07,SOCO,"Southern Company Services, Inc. - Trans",Demand,21540,megawatthours
2024-05-02T08,SOCO,"Southern Company Services, Inc. - Trans",Demand,21008,megawatthours
2024-05-02T09,SOCO,"Southern Company Services, Inc. - Trans",Demand,20913,megawatthours
2024-05-02T10,SOCO,"Southern Company Services, Inc. - Trans",Demand,21501,megawatthours
2024-05-02T11,SOCO,"Southern Company Services, Inc. - Trans",Demand,23027,megawatthours
2024-05-02T12,SOCO,"Southern Company Services, Inc. - Trans",Demand,23664,megawatthours
2024-05-02T13,SOCO,"Southern Company Services, Inc. - Trans",Demand,24282,megawatthours
2024-05-02T14,SOCO,"Southern Company Services, Inc. - Trans",Demand,25065,megawatthours
2024-05-02T15,SOCO,"Southern Company Services, Inc. - Trans",Demand,26145,megawatthours
2024-05-02T16,SOCO,"Southern Company Services, Inc. - Trans",Demand,27852,megawatthours
2024-05-02T17,SOCO,"Southern Company Services, Inc. - Trans",Demand,29473,megawatthours
2024-05-02T18,SOCO,"Southern Company Services, Inc. - Trans",Demand,31115,megawatthours
2024-05-02T19,SOCO,"Southern Company Services, Inc. - Trans",Demand,32343,megawatthours
2024-05-02T20,SOCO,"Southern Company Services, Inc. - Trans",Demand,33128,megawatthours
